CODIGO ORDEN DE SERVICIO,DENOMINACION DEL SERVICIO,TIPO DE INTERVENCION,CODIGO ENTIDAD,ENTIDAD,REGION,PROVINCIA,DISTRITO,¿TIENE SITUACIONES DE INCUMPLIMIENTO?,N° INFORME DE CONTROL,TIPO DE VISITA,VALOR REFERENCIAL MONTO,MONTO ADJUDICADO,CANTIDAD SITUACION ADVERSAS,SITUACION ADVERSAS 1,SITUACION ADVERSAS 2,SITUACION ADVERSAS 3,SITUACION ADVERSAS 4,SITUACION ADVERSAS 5,SITUACION ADVERSAS 6,FECHA VISITA,MES DE VISITA,,,
02-L531-2021-488,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DE CHACHAPOYAS, DEPARTAMENTO DE AMAZONAS",VC CAMARAS,328,MUNICIPALIDAD PROVINCIAL DE CHACHAPOYAS,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,SI,19223-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,0,,,,,,,17/09/2021,SEPTIEMBRE,,,
02-L531-2021-528,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DE LUYA - LAMUD, PROVINCIA DE LUYA - LAMUD, DEPARTAMENTO DE AMAZONAS.",VC CAMARAS,329,MUNICIPALIDAD PROVINCIAL LUYA LAMUD,AMAZONAS,LUYA,LAMUD,SI,19354-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,2,"UNA (1) CAMARA DE VIDEOVIGILANCIA DE LA ENTIDAD NO SE ENCUENTRA EN FUNCIONAMIENTO, SITUACION QUE PODRIA AFECTAR EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA A CARGO DEL GOBIERNO LOCAL.","LA ENTIDAD NO ALMACENA LAS GRABACIONES POR EL PLAZO MINIMO ESTABLECIDO EN LA NORMATIVA APLICABLE, SITUACION QUE PODRIA AFECTAR QUE LA CIUDADANIA Y LAS ENTIDADES COMPETENTES UTILICEN OPORTUNAMENTE DICHAS GRABACIONES Y EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA.",,,,,28/09/2021,SEPTIEMBRE,,,
02-L531-2021-616,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DE RODRIGUEZ DE MENDOZA, PROVINCIA DE RODRIGUEZ DE MENDOZA, DEPARTAMENTO DE AMAZONAS",VC CAMARAS,330,MUNICIPALIDAD PROVINCIAL DE RODRIGUEZ DE MENDOZA,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,SI,19795-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,1,"UNA (1) CAMARA DE VIDEOVIGILANCIA DE LA ENTIDAD NO SE ENCUENTRA EN FUNCIONAMIENTO, SITUACION QUE PODRIA AFECTAR EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA A CARGO DEL GOBIERNO LOCAL.",,,,,,19/10/2021,OCTUBRE,,,
02-L531-2021-522,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DE CARHUAZ, PROVINCIA DE CARHUAZ, DEPARTAMENTO DE ANCASH",VC CAMARAS,334,MUNICIPALIDAD PROVINCIAL DE CARHUAZ,ANCASH,CARHUAZ,CARHUAZ,SI,19326-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,1,"CINCO (5) CAMARAS DE VIDEOVIGILANCIA DE LA ENTIDAD NO SE ENCUENTRAN EN FUNCIONAMIENTO, SITUACION QUE PODRIA AFECTAR EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA A CARGO DEL GOBIERNO LOCAL",,,,,,27/09/2021,SEPTIEMBRE,,,
02-L531-2021-658,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DE CASMA, PROVINCIA DE CASMA, DEPARTAMENTO DE ANCASH",VC CAMARAS,335,MUNICIPALIDAD PROVINCIAL DE CASMA,ANCASH,CASMA,CASMA,SI,20178-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,1,"DOCE (12) CAMARAS DE VIDEOVIGILANCIA DE LA ENTIDAD NO SE ENCUENTRAN EN FUNCIONAMIENTO, SITUACION QUE PODRIA AFECTAR EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA A CARGO DEL GOBIERNO LOCAL",,,,,,20/10/2021,OCTUBRE,,,
02-L531-2021-529,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DE HUARAZ, PROVINCIA DE HUARAZ, DEPARTAMENTO DE ANCASH",VC CAMARAS,337,MUNICIPALIDAD PROVINCIAL DE HUARAZ,ANCASH,HUARAZ,HUARAZ,SI,19337-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,2,"CUATRO (4) CAMARAS DE VIDEOVIGILANCIA DE LA ENTIDAD NO SE ENCUENTRAN EN FUNCIONAMIENTO, SITUACION QUE PODRIA AFECTAR EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA A CARGO DEL GOBIERNO LOCAL","LA ENTIDAD NO ALMACENA LAS GRABACIONES POR EL PLAZO MINIMO ESTABLECIDO EN LA NORMATIVA APLICABLE, SITUACION QUE PODRIA AFECTAR QUE LA CIUDADANIA Y LAS ENTIDADES COMPETENTES UTILICEN OPORTUNAMENTE DICHAS GRABACIONES Y EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA",,,,,24/09/2021,SEPTIEMBRE,,,
02-L531-2021-717,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DE HUAYLAS, PROVINCIA DE HUAYLAS, DEPARTAMENTO DE ANCASH",VC CAMARAS,339,MUNICIPALIDAD PROVINCIAL DE HUAYLAS,ANCASH,HUAYLAS,CARAZ,SI,24084-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,1,"LA ENTIDAD NO ALMACENA LAS GRABACIONES POR EL PLAZO MINIMO ESTABLECIDO EN LA NORMATIVA APLICABLE, SITUACION QUE PODRIA AFECTAR QUE LA CIUDADANIA Y LAS ENTIDADES COMPETENTES UTILICEN OPORTUNAMENTE DICHAS GRABACIONES Y EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA.",,,,,,23/11/2021,NOVIEMBRE,,,
02-L531-2021-655,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DEL SANTA, PROVINCIA DEL SANTA, DEPARTAMENTO DE ANCASH",VC CAMARAS,344,MUNICIPALIDAD PROVINCIAL DEL SANTA,ANCASH,SANTA,CHIMBOTE,SI,20186-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,2,"VEINTE (20) CAMARAS DE VIDEOVIGILANCIA DE LA ENTIDAD NO SE ENCUENTRAN EN FUNCIONAMIENTO, SITUACION QUE PODRIA AFECTAR EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA A CARGO DEL GOBIERNO LOCAL","LA ENTIDAD NO ALMACENA LAS GRABACIONES POR EL PLAZO MINIMO ESTABLECIDO EN LA NORMATIVA APLICABLE, SITUACION QUE PODRIA AFECTAR QUE LA CIUDADANIA Y LAS ENTIDADES COMPETENTES UTILICEN OPORTUNAMENTE DICHAS GRABACIONES Y EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA",,,,,21/10/2021,OCTUBRE,,,
02-L531-2021-716,"OPERACION Y MANTENIMIENTO DE LAS CAMARAS DE VIDEOVIGILANCIA EN LA MUNICIPALIDAD PROVINCIAL DE YUNGAY, PROVINCIA DE YUNGAY, DEPARTAMENTO DE ANCASH",VC CAMARAS,346,MUNICIPALIDAD PROVINCIAL DE YUNGAY,ANCASH,YUNGAY,YUNGAY,SI,24083-2021-CG/PC-SVC,NO PRECISA,S/ 0.00,S/ 0.00,2,"UNA (1) CAMARA DE VIDEOVIGILANCIA DE LA ENTIDAD NO SE ENCUENTRA EN FUNCIONAMIENTO, SITUACION QUE PODRIA AFECTAR EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA A CARGO DEL GOBIERNO LOCAL.","LA ENTIDAD NO ALMACENA LAS GRABACIONES POR EL PLAZO MINIMO ESTABLECIDO EN LA NORMATIVA APLICABLE, SITUACION QUE PODRIA AFECTAR QUE LA CIUDADANIA Y LAS ENTIDADES COMPETENTES UTILICEN OPORTUNAMENTE DICHAS GRABACIONES Y EL MONITOREO PERMANENTE DEL SISTEMA DE SEGURIDAD CIUDADANA.",,,,,22/11/2021,NOVIEMBRE,,,
02-L531-2021-402,"IMPLEMENTACION DEL PLAN COVID EN LA OBRA: MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR, PEATONAL DE LA URB. SAN JAVIER, A.V. AVIACION, CALLE N.º 11, CALLE N.º 12, DE LA CIUDAD DE ABANCAY DEL DISTRITO DE ABANCAY - PROVINCIA DE ABANCAY - DEPARTAMENTO DE APURIMAC",IMPLEMENTACION PLAN COVID EN OBRAS,347,MUNICIPALIDAD PROVINCIAL DE ABANCAY,APURIMAC,ABANCAY,ABANCAY,SI,13839-2021-CG/PC-SVC,NO PRECISA,"S/ 2,769,891.37",S/ 0.00,2,"INCONSISTENCIAS EN EL PLAN PARA LA VIGILANCIA, LA PREVENCION Y EL CONTROL DE LA COVID-19, SITUACION QUE PONE EN RIESGO EL CUMPLIMIENTO DE LAS MEDIDAS PARA DISMINUIR LA TRANSMISIBILIDAD DE LA COVID-19 DURANTE LA EJECUCION DE LA OBRA.","DURANTE LA EJECUCION DE LA OBRA NO SE CUMPLEN LAS MEDIDAS PREVENTIVAS Y LOS PROTOCOLOS SANITARIOS PARA EVITAR EL CONTAGIO DEL COVID-19, SITUACION QUE PONE EN RIESGO LA SALUD DE LOS TRABAJADORES Y LAS PERSONAS QUE POR ALGUN MOTIVO INGRESEN A LA OBRA.",,,,,17/08/2021,AGOSTO,,,
